,u,v,khopnode,repeat,distance
28464,5,177,5,384,0.40320522185012536
28465,6,18,5,384,0.40320522185012536
28466,5,55,5,384,0.40320522185012536
28467,29,131,5,384,0.40320522185012536
28468,6,124,5,384,0.40320522185012536
28469,1,7,5,384,0.40320522185012536
28470,5,60,5,384,0.40320522185012536
28471,5,252,5,384,0.40320522185012536
28472,114,115,5,384,0.40320522185012536
28473,47,211,5,384,0.40320522185012536
28474,5,164,5,384,0.40320522185012536
28475,14,328,5,384,0.40320522185012536
28476,9,115,5,384,0.40320522185012536
28477,12,71,5,384,0.40320522185012536
28478,46,211,5,384,0.40320522185012536
28479,5,156,5,384,0.40320522185012536
28480,1,37,5,384,0.40320522185012536
28481,11,60,5,384,0.40320522185012536
28482,11,98,5,384,0.40320522185012536
28483,1,55,5,384,0.40320522185012536
28484,1,15,5,384,0.40320522185012536
28485,9,247,5,384,0.40320522185012536
28486,5,74,5,384,0.40320522185012536
28487,160,252,5,384,0.40320522185012536
28488,5,137,5,384,0.40320522185012536
28489,5,30,5,384,0.40320522185012536
28490,19,134,3,385,0.4879069752324633
28491,6,28,3,385,0.4879069752324633
28492,3,335,3,385,0.4879069752324633
28493,3,52,3,385,0.4879069752324633
28494,3,9,3,385,0.4879069752324633
28495,36,51,3,385,0.4879069752324633
28496,4,9,3,385,0.4879069752324633
28497,4,228,3,385,0.4879069752324633
28498,4,279,3,385,0.4879069752324633
28499,11,335,3,385,0.4879069752324633
28500,23,89,3,385,0.4879069752324633
28501,6,54,3,385,0.4879069752324633
28502,3,4,3,385,0.4879069752324633
28503,5,20,3,385,0.4879069752324633
28504,51,257,3,385,0.4879069752324633
28505,11,36,3,385,0.4879069752324633
28506,3,182,3,385,0.4879069752324633
28507,5,9,3,385,0.4879069752324633
28508,3,54,3,385,0.4879069752324633
28509,0,4,3,385,0.4879069752324633
28510,3,257,3,385,0.4879069752324633
28511,23,394,3,385,0.4879069752324633
28512,4,97,3,385,0.4879069752324633
28513,1,4,3,385,0.4879069752324633
28514,9,69,3,385,0.4879069752324633
28515,3,279,3,385,0.4879069752324633
28516,36,158,3,385,0.4879069752324633
28517,3,286,3,385,0.4879069752324633
28518,3,228,3,385,0.4879069752324633
28519,1,20,3,385,0.4879069752324633
28520,3,19,3,385,0.4879069752324633
28521,19,30,3,385,0.4879069752324633
28522,3,261,3,385,0.4879069752324633
28523,3,134,3,385,0.4879069752324633
28524,1,47,3,385,0.4879069752324633
28525,9,10,3,385,0.4879069752324633
28526,10,61,3,385,0.4879069752324633
28527,3,158,3,385,0.4879069752324633
28528,3,36,3,385,0.4879069752324633
28529,0,3,3,385,0.4879069752324633
28530,52,121,3,385,0.4879069752324633
28531,1,10,3,385,0.4879069752324633
28532,3,20,3,385,0.4879069752324633
28533,9,11,3,385,0.4879069752324633
28534,10,11,3,385,0.4879069752324633
28535,3,23,3,385,0.4879069752324633
28536,54,182,3,385,0.4879069752324633
28537,3,97,3,385,0.4879069752324633
28538,3,89,3,385,0.4879069752324633
28539,10,286,3,385,0.4879069752324633
28540,3,10,3,385,0.4879069752324633
28541,2,97,3,385,0.4879069752324633
28542,3,28,3,385,0.4879069752324633
28543,4,5,3,385,0.4879069752324633
28544,4,23,3,385,0.4879069752324633
28545,3,5,3,385,0.4879069752324633
28546,3,11,3,385,0.4879069752324633
28547,4,487,3,385,0.4879069752324633
28548,3,61,3,385,0.4879069752324633
28549,3,30,3,385,0.4879069752324633
28550,1,6,3,385,0.4879069752324633
28551,0,261,3,385,0.4879069752324633
28552,3,487,3,385,0.4879069752324633
28553,3,47,3,385,0.4879069752324633
28554,1,5,3,385,0.4879069752324633
28555,2,3,3,385,0.4879069752324633
28556,4,28,3,385,0.4879069752324633
28557,3,6,3,385,0.4879069752324633
28558,3,121,3,385,0.4879069752324633
28559,4,6,3,385,0.4879069752324633
28560,1,3,3,385,0.4879069752324633
28561,1,257,3,385,0.4879069752324633
28562,3,394,3,385,0.4879069752324633
28563,3,51,3,385,0.4879069752324633
28564,4,407,4,386,0.45897729909145735
28565,10,154,4,386,0.45897729909145735
28566,0,4,4,386,0.45897729909145735
28567,4,7,4,386,0.45897729909145735
28568,12,53,4,386,0.45897729909145735
28569,4,255,4,386,0.45897729909145735
28570,3,29,4,386,0.45897729909145735
28571,4,49,4,386,0.45897729909145735
28572,4,492,4,386,0.45897729909145735
28573,53,260,4,386,0.45897729909145735
28574,4,34,4,386,0.45897729909145735
28575,9,49,4,386,0.45897729909145735
28576,156,224,4,386,0.45897729909145735
28577,12,156,4,386,0.45897729909145735
28578,4,12,4,386,0.45897729909145735
28579,4,63,4,386,0.45897729909145735
28580,0,13,4,386,0.45897729909145735
28581,2,126,4,386,0.45897729909145735
28582,2,9,4,386,0.45897729909145735
28583,6,41,4,386,0.45897729909145735
28584,15,38,4,386,0.45897729909145735
28585,4,53,4,386,0.45897729909145735
28586,12,126,4,386,0.45897729909145735
28587,4,13,4,386,0.45897729909145735
28588,3,34,4,386,0.45897729909145735
28589,4,410,4,386,0.45897729909145735
28590,4,158,4,386,0.45897729909145735
28591,4,260,4,386,0.45897729909145735
28592,4,38,4,386,0.45897729909145735
28593,0,7,4,386,0.45897729909145735
28594,103,410,4,386,0.45897729909145735
28595,4,103,4,386,0.45897729909145735
28596,4,6,4,386,0.45897729909145735
28597,15,199,4,386,0.45897729909145735
28598,13,186,4,386,0.45897729909145735
28599,49,407,4,386,0.45897729909145735
28600,73,158,4,386,0.45897729909145735
28601,4,10,4,386,0.45897729909145735
28602,13,34,4,386,0.45897729909145735
28603,4,145,4,386,0.45897729909145735
28604,6,424,4,386,0.45897729909145735
28605,4,186,4,386,0.45897729909145735
28606,3,83,4,386,0.45897729909145735
28607,47,73,4,386,0.45897729909145735
28608,3,12,4,386,0.45897729909145735
28609,47,492,4,386,0.45897729909145735
